SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionDistrict,ElectionRegion,CandidateFirstName,CandidateSurname,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidateOtherNames,CandidateFullname
1582,42,1996-02-27,Presidential,"District Results",Moyamba,,Edward,Kargbo,PNC,808080,"First Round",13,0.29,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,32216051-f4e4-4169-bd37-9e645db7bdcf,0fab93b4-e761-4268-9ff2-932375cf1f80,,"Edward Kargbo"
9542,322,2002-05-14,Presidential,"District Results",Pujehun,,Raymond,Thompson,CUPP,808080,"First Round",12,0.01,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,92d8b895-55f4-4978-8048-086439561e66,fca4e8ae-9970-4d96-885d-a29baa03fc45,Bamidele,"Raymond Bamidele Thompson"
9275,96,2012-11-17,Presidential,"District Results",Pujehun,,James,Fullah,UNPP,cccc00,"First Round",11,0.17,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,23f2bcd7-33e5-435f-9787-f87b51056e06,efabb7cb-f802-463d-88e7-61ad2aa1f282,Obai,"James Obai Fullah"
1485,39,1996-02-27,Presidential,"District Results",Pujehun,,Desmond,Luke,NUM,808080,"First Round",10,0.06,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,29602876-56f2-4fc1-9d41-c7e3d859a362,7a9b8be2-d5c9-414a-8d65-9de7548d92e3,,"Desmond Luke"
9610,320,2002-05-14,Presidential,"District Results",Bonthe,,Raymond,Kamara,GAP,FFA07A,"First Round",9,0.01,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,5723dd5e-e600-459d-8ff9-ffb828e4a1e8,976c1e2a-1275-4630-899d-75e6b32cf089,,"Raymond Kamara"
987,36,1996-02-27,Presidential,"District Results",Moyamba,,Mohamed,Sillah,NADP,cccccc,"First Round",8,0.18,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,a3b633bc-f171-4c99-8be2-4b5e691e748c,d94298d0-94a3-49e3-bca1-8eccb432b94f,,"Mohamed Sillah"
8584,44,1996-02-27,Presidential,"District Results",Tonkolili,,Andrew,Lungay,SDP,2F4F4F,"First Round",8,0.11,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,36108f05-846a-4b29-98cc-1fa362ebcd27,77b66500-c1a3-4d20-a9b6-151894bb215a,,"Andrew Lungay"
988,36,1996-02-27,Presidential,"District Results",Pujehun,,Mohamed,Sillah,NADP,cccccc,"First Round",2,0.01,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,bcb607cc-8838-4a91-84cd-15c17ad2c956,d94298d0-94a3-49e3-bca1-8eccb432b94f,,"Mohamed Sillah"
4761,81,2023-06-24,Presidential,"Regional Results",,"Western Urban",Mohamed,Bah,NDA,1F681B,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/mohamed-c-bah.jpg,be9ad548-ec03-480b-82d5-efe123db1fcf,d9887f21-50b5-4b93-b532-ce61e2fc7797,C,"Mohamed C Bah"
5599,90,2023-06-24,Presidential,"Regional Results",,"North West",Jonathan,Sandy,NURP,d39b47,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-06/jonathan-sandy-photo.jpg,93a9f0e3-d5b9-458a-9800-304fef58fd8b,72e39d90-0324-4936-bf38-2ea5f0f1cc91,Patrick,"Jonathan Patrick Sandy"
11258,4736,2023-06-24,Presidential,"Regional Results",,"Western Urban",Prince,Coker,PDP,1E90FF,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/prince-coker-pdp.jpg,9b3a3303-4572-418a-88a8-a6bf306fe5ce,9d9c43ec-adfc-4a59-ab9f-704b1e748e66,,"Prince Coker"
2401,33,2023-06-24,Presidential,"District Results",Pujehun,,Samura,Kamara,APC,FF333C,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/dr-samura-matthew-wilson-kamara.jpg,9ccce31d-ad1f-4a02-9891-f6f14ae35448,8db3e207-7f16-4c2e-a783-94b8136fead7,"Mathew Wilson","Samura Mathew Wilson Kamara"
4833,82,2023-06-24,Presidential,"District Results",Bo,,Mohamed,Sowa-Turay,UDM,9900cc,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/mohamed-turay-sowa.png,2c8de860-6966-40a0-ac69-88b972da311d,64c012ca-e6f3-4f66-aab2-49d8ff1c8181,,"Mohamed Sowa-Turay"
