SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,"City Council",ElectionDistrict,ElectionRegion,CandidateFirstName,CandidateSurname,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidateOtherNames,CandidateFullname
571,426,2012-11-17,Chairperson,"District Results",,Kono,,Mohamed,Baryoh,SLPP,009900,"First Round","39,533",44.14,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,e94d26d3-3996-411b-b791-336c3e88b82d,0cfc0499-b684-431f-ac97-ab005b48afbc,Askia,"Mohamed Askia Baryoh"
622,474,2012-11-17,Chairperson,"District Results",,"Western Area Rural",,Malikie,Koroma,SLPP,009900,"First Round","34,784",25.65,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,47f8dadc-eb70-4d02-bdf1-019e896acd3e,7d7ed417-a591-4833-8923-133e4f1a1d2a,Abu,"Malikie Abu Koroma"
606,457,2012-11-17,Chairperson,"District Results",,Moyamba,,Mohamed,Fofanah,APC,FF333C,"First Round","28,228",25.60,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,6e908527-d008-43fe-994e-be4dab883b83,9fb875a6-9f85-4212-b8b2-c4c3820c06ea,Alimamy,"Mohamed Alimamy Fofanah"
8094,457,2012-11-17,Chairperson,"District Results",,Moyamba,,Mohamed,Fofanah,APC,FF333C,"First Round","28,228",25.60,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,1b2714d0-b9f3-4d70-a327-da2438fd38bf,9fb875a6-9f85-4212-b8b2-c4c3820c06ea,Alimamy,"Mohamed Alimamy Fofanah"
1593,1586,2018-03-07,Chairperson,"District Results",,Koinadugu,,Alex,Konteh,APC,FF333C,"First Round","27,331",67.08,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,4dadc2a0-abf5-4d9a-9846-1be39531e97c,c3f93e9b-1205-48c1-934d-a606b039549b,,"Alex Konteh"
1190,1183,2018-03-07,Mayor,"District Results","Freetown City","Western Area Urban",,Samuel,Itam,NGC,4b0082,"First Round","25,082",4.85,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,35bde054-601d-4ce4-b50d-e0fe47dcbd0b,7402d5fa-fa74-4bbc-9642-067890016afc,"Paul Orok","Samuel Paul Orok Itam"
8620,8619,2012-11-17,Chairperson,"District Results",,Kailahun,,Augutine,Kortu,APC,FF333C,"First Round","24,746",20.31,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,6c9c887b-94ae-4a7b-9910-5f36c82f2576,07effd51-fb95-4f53-8a18-5b7dc0e56014,,"Augutine Kortu"
552,414,2012-11-17,Chairperson,"District Results",,Kailahun,,Augustine,Kortu,APC,FF333C,"First Round","24,746",20.31,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,63c0d94c-136c-41ce-8fdd-32b0b8beeebc,bc415c44-95ab-4266-a575-812db23ac092,,"Augustine Kortu"
8761,414,2012-11-17,Chairperson,"District Results",,Kailahun,,Augustine,Kortu,APC,FF333C,"First Round","24,746",20.31,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,8a910d7d-ed40-4bc5-a584-801f1541b58c,bc415c44-95ab-4266-a575-812db23ac092,,"Augustine Kortu"
576,429,2012-11-17,Chairperson,"District Results",,Kambia,,Ibrahim,Kabba,SLPP,009900,"First Round","23,243",21.37,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,67952aa3-3030-4066-a3fa-e66d665b6450,4ec5af41-60e6-4f60-a16e-253665276cc0,,"Ibrahim Kabba"
8796,429,2012-11-17,Chairperson,"District Results",,Kambia,,Ibrahim,Kabba,SLPP,009900,"First Round","23,243",21.37,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,55e6fadf-1418-461e-a5ca-bcd1a585da50,4ec5af41-60e6-4f60-a16e-253665276cc0,,"Ibrahim Kabba"
1285,75,2018-03-07,Mayor,"District Results","Koidu-New Sembehun City",Kono,,Komba,Sam,C4C,d68910,"First Round","23,053",67.42,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,454c6ed7-e767-4b41-9d09-13765367f727,c62a718a-b4d5-4aad-b2f0-ed09dc105fcd,,"Komba Sam"
1547,1537,2018-03-07,Chairperson,"District Results",,Kono,,Robert,Chakanda,SLPP,009900,"First Round","22,409",32.57,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,7ba1cf0e-209f-40f0-b978-50eeb6ce196b,182b7bcc-5e05-46eb-a71b-0a986565c5d4,,"Robert Chakanda"
3696,522,2012-11-17,Mayor,"District Results","Koidu-New Sembehun City",Kono,,Saa,Lamina,APC,FF333C,"First Round","22,386",0.00,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,be5c7145-ea48-4977-a732-f0e839c7baf0,de638e15-eb6d-4616-86ad-19357c8bd053,Emerson,"Saa Emerson Lamina"
638,522,2012-11-17,Mayor,"District Results","Koidu-New Sembehun City",Kono,,Saa,Lamina,APC,FF333C,"First Round","22,341",57.56,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,bcb8de90-1b80-4aa4-bc65-b56f1c77d43b,de638e15-eb6d-4616-86ad-19357c8bd053,Emerson,"Saa Emerson Lamina"
8708,8707,2012-11-17,Mayor,"District Results","Koidu-New Sembehun City",Kono,,Saa,Lamina,APC,FF333C,"First Round","22,341",57.56,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,51961111-bf98-48fd-af04-895d1caaf788,82f31992-8497-4bab-bb6d-c2312a3fa1a9,Emerson,"Saa Emerson Lamina"
8775,420,2012-11-17,Chairperson,"District Results",,Kenema,,Doris,Nyanbe,APC,FF333C,"First Round","21,385",15.19,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,582bba5b-4c30-408a-9b47-5c439a457d0f,78b6a007-84a0-49a2-8bcd-9e37bfb1b0f7,Saffa,"Doris Saffa Nyanbe"
8628,8627,2012-11-17,Chairperson,"District Results",,Kenema,,Doris,Nyangbe,APC,FF333C,"First Round","21,385",15.19,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,0addad5b-ffde-4190-a63a-993fc5974a16,9690f4a3-3774-463f-b024-de9c1af724a2,Saffa,"Doris Saffa Nyangbe"
557,420,2012-11-17,Chairperson,"District Results",,Kenema,,Doris,Nyanbe,APC,FF333C,"First Round","21,385",15.49,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,db5059fe-ad31-4de9-a8ea-f70e0a913831,78b6a007-84a0-49a2-8bcd-9e37bfb1b0f7,Saffa,"Doris Saffa Nyanbe"
1393,1382,2018-03-07,Chairperson,"District Results",,"Port Loko",,Isheka,Koroma,NGC,4b0082,"First Round","21,015",16.67,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,faa17e9f-8b74-4f83-8d54-ab218c066201,feb38549-3252-4618-a163-419a026d95b0,,"Isheka Koroma"
588,439,2012-11-17,Chairperson,"District Results",,"Port Loko",,Joesph,Mansaray,SLPP,009900,"First Round","20,898",10.32,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,264e62d4-4efa-4196-b991-d239fc0957fb,98540c57-fe48-41d4-b459-2fd7583fdd80,"A. Yamba","Joesph A. Yamba Mansaray"
8845,8838,2012-11-17,Chairperson,"District Results",,"Port Loko",,Joseph,Mansaray,SLPP,009900,"First Round","20,898",10.32,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,989b1614-edaf-4dcf-ae55-bcc0f66de78f,a035a8d8-b105-419e-beea-7b489695e2cb,Yamba,"Joseph A Yamba Mansaray"
1377,1368,2018-03-07,Chairperson,"District Results",,Tonkolili,,Idriss,Tarawallie,NGC,4b0082,"First Round","20,734",15.93,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,0156e141-5f2c-4bfb-8dec-f5227116ad47,c2c298b2-97e0-4d62-91f6-8b939ec09d4c,,"Idriss Tarawallie"
1439,1433,2018-03-07,Chairperson,"District Results",,Moyamba,,Jolly,Lavelie,APC,FF333C,"First Round","20,476",19.43,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,d8ae5d9b-d7f6-4387-a0ca-ab0c8ddfcd93,eef949d4-1076-4a7c-8a68-e368560c595e,,"Jolly Lavalie"
583,433,2012-11-17,Chairperson,"District Results",,Koinadugu,,Abdulai,Barrie,SLPP,009900,"First Round","20,211",19.66,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,1ebbfb0f-f560-4840-915a-e178d3462925,e878e063-ffc0-4a03-bcf0-f353a9096af4,,"Abdulai Barrie"
8801,433,2012-11-17,Chairperson,"District Results",,Koinadugu,,Abdulai,Barrie,SLPP,009900,"First Round","20,211",19.66,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,92b51c33-23ed-493a-899f-def4a681accc,e878e063-ffc0-4a03-bcf0-f353a9096af4,,"Abdulai Barrie"
4061,1604,2018-03-07,Chairperson,"District Results",,Falaba,,Sajor,Maranda,APC,FF333C,"First Round","20,020",60.05,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,ed3c965b-95fb-45fb-a54e-59ec4dd4e377,c5836d9a-1a5b-47fe-9c54-d18c0e68ec4b,,"Sajor Maranda"
8858,442,2012-11-17,Chairperson,"District Results",,Tonkolili,,Abdul,Kamara,SLPP,009900,"First Round","19,126",12.12,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,81018e71-de71-4cbc-809d-c4350630cd82,d93a0317-a6b3-4c8a-8c87-19c9e82ab1f6,K.,"Abdul K. Kamara"
592,442,2012-11-17,Chairperson,"District Results",,Tonkolili,,Abdul,Kamara,SLPP,009900,"First Round","19,126",12.12,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,156a1fe4-da21-445d-af57-aff2e4fa917a,d93a0317-a6b3-4c8a-8c87-19c9e82ab1f6,K.,"Abdul K. Kamara"
657,533,2012-11-17,Mayor,"District Results","Bo City",Bo,,Sheik,Sillah,APC,FF333C,"First Round","17,216",21.37,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,fd114428-1f3a-466d-820b-2b3b4cf4fbc6,2e11b5bb-8de0-42e5-8c8b-53e3554cd333,,"Shiek Sillah"
8553,8551,2012-11-17,Mayor,"District Results","Bo City",Bo,,Sheik,Sillah,APC,FF333C,"First Round","17,216",21.37,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,7866b613-0616-4e0c-88d0-1bbb0c6288ce,dc47f692-49f7-4e1a-b008-43afcb99ed39,,"Sheik Sillah"
574,428,2012-11-17,Chairperson,"District Results",,Bombali,,Alex,Kargbo,SLPP,009900,"First Round","16,412",12.07,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,4011033b-e0da-42bc-a630-8f7ed8c1b98b,ab3447f1-6e0f-44a7-9c80-1380e83adfef,,"Alex Kargbo"
8791,428,2012-11-17,Chairperson,"District Results",,Bombali,,Alex,Kargbo,SLPP,009900,"First Round","16,412",12.07,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,d383d85b-224e-4ccd-9852-01f65a52a19b,ab3447f1-6e0f-44a7-9c80-1380e83adfef,,"Alex Kargbo"
595,446,2012-11-17,Chairperson,"District Results",,Bo,,Florence,Bayo,APC,FF333C,"First Round","15,853",11.65,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,c151f547-1c67-43c9-8d72-8d73807c05fc,bee855eb-3e21-49ec-915b-4f74a9f0c5e7,E.,"Florence E. Bayo"
7898,446,2012-11-17,Chairperson,"District Results",,Bo,,Florence,Bayo,APC,FF333C,"First Round","15,853",11.65,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,a1e09c1a-58b2-407d-b642-6ceeea945c25,bee855eb-3e21-49ec-915b-4f74a9f0c5e7,E.,"Florence E. Bayo"
1258,1251,2018-03-07,Mayor,"District Results","Bo City",Bo,,Christian,Johnson,APC,FF333C,"First Round","15,604",16.94,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,bce083fe-5d23-4fa8-81b1-780e5ae8f357,9af78c63-f828-4bf9-8ec6-dbaf237e47d8,,"Christian Johnson"
1362,1357,2018-03-07,Chairperson,"District Results",,Kailahun,,Jusu,Ngobeh,APC,FF333C,"First Round","15,591",12.43,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,79cedae7-257e-4b31-ad84-8c4d599c4dba,29a77af9-a664-4e3e-85cc-8df37d4b1317,,"Jusu Ngobeh"
1333,1325,2018-03-07,Chairperson,"District Results",,Kenema,,George,Sellu,APC,FF333C,"First Round","15,137",11.04,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,cbbacd8e-532c-4cd0-879c-9a3696f6a28a,5f04d65c-e175-4845-9897-ade4d7717c2a,,"George Sellu"
639,523,2012-11-17,Mayor,"District Results","Koidu-New Sembehun City",Kono,,Sia,Tongu,SLPP,009900,"First Round","15,018",38.69,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,0c5ba021-42ec-4144-adff-2d0e7321a65c,e6207978-f41b-44fd-8fdf-2e0ec93120f4,Elizabeth,"Sia Elizabeth Tongu"
8710,523,2012-11-17,Mayor,"District Results","Koidu-New Sembehun City",Kono,,Sia,Tongu,SLPP,009900,"First Round","15,018",38.69,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,fbf08a62-303d-43ef-9a5c-3b677ead2840,e6207978-f41b-44fd-8fdf-2e0ec93120f4,Elizabeth,"Sia Elizabeth Tongu"
8671,8668,2012-11-17,Mayor,"District Results","Kenema City",Kenema,,Ishmail,Sesay,APC,FF333C,"First Round","13,877",19.36,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,ba271cd6-f1f1-4a1c-84f4-7728662b34db,94411bc6-928a-4f1f-bc0d-b3c4c331a1c9,,"Ishmail Sesay"
632,517,2012-11-17,Mayor,"District Results","Kenema City",Kenema,,Ishmail,Sisay,APC,FF333C,"First Round","13,877",19.36,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,92e952cf-743e-425b-838b-f478dbef671f,e3af9105-fd40-41cf-ab18-9ca0a614fab1,,"Ishmail Sisay"
1595,,2018-03-07,Chairperson,"District Results",,Koinadugu,,,,SLPP,009900,"First Round","13,410",32.92,No,Final/Certified,,9ee3c0ea-e304-4347-ab5e-0fa96ff64d90,,,
1612,1607,2018-03-07,Chairperson,"District Results",,Falaba,,Danda,Kondeh,SLPP,009900,"First Round","13,319",39.95,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,c690a785-6804-4a15-9177-eaf2680e3656,8309679c-a6df-4244-9fcc-bc45d44bd896,,"Danda Kondeh"
1493,1481,2018-03-07,Chairperson,"District Results",,Karene,,Joseph,Bangura,NGC,4b0082,"First Round","12,938",18.12,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,f047e8c8-36ff-498d-b65c-d20095a362f0,d397512c-bac7-4b80-817c-3cf2f2239e24,,"Joseph Bangura"
596,447,2012-11-17,Chairperson,"District Results",,Bo,,Alfred,Barnes,PMDC,f3881e,"First Round","12,734",9.36,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,6218ed6e-7f4d-40e6-83e9-4f1a92263a32,165fca69-dd4e-4240-ad31-77aa20bb1438,Rev.,"Alfred Rev. Barnes"
8063,447,2012-11-17,Chairperson,"District Results",,Bo,,Alfred,Barnes,PMDC,f3881e,"First Round","12,734",9.36,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,df9148ff-5466-4cb8-850f-79268eb78a31,165fca69-dd4e-4240-ad31-77aa20bb1438,Rev.,"Alfred Rev. Barnes"
1239,1227,2018-03-07,Mayor,"District Results","Kenema City",Kenema,,Halimatu,Massaquoi,APC,FF333C,"First Round","11,923",14.67,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,e6364c8f-583e-4d25-9bac-686723c9fead,7c9f1cb7-390b-45f5-8277-a0ef2bc0a874,,"Halimatu Massaquoi"
3977,1227,2018-03-07,Mayor,"District Results","Kenema City",Kenema,,Halimatu,Massaquoi,APC,FF333C,"First Round","11,923",14.67,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,2e225845-0907-4642-86ba-8a285a2337f2,7c9f1cb7-390b-45f5-8277-a0ef2bc0a874,,"Halimatu Massaquoi"
1456,1445,2018-03-07,Chairperson,"District Results",,Bombali,,Alusine,Fofanah,SLPP,009900,"First Round","11,324",12.53,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,7f29f650-7b67-4cbe-bae8-6547f69c4ab9,7e007fc9-f616-45ed-a551-0fdeabb3b141,,"Alusine Fofanah"
1286,1280,2018-03-07,Mayor,"District Results","Koidu-New Sembehun City",Kono,,Sahr,Duwai,SLPP,009900,"First Round","11,139",32.58,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,5719b805-02ab-4ad7-98b0-e9646dead976,b3f2169c-bd6c-4068-af6c-5f84f02764ea,,"Sahr Duwai"
1298,73,2018-03-07,Mayor,"District Results","Port Loko City","Port Loko",,Abubakarr,Kamara,APC,FF333C,"First Round","10,667",81.28,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,581ca93c-91b1-48c6-85b8-ba73884791a4,fedc7ccc-2e7d-4c94-bc76-96c92b964e6e,,"Abubakarr Kamara"
1319,1314,2018-03-07,Chairperson,"District Results",,Bo,,Alfred,Ansumana,APC,FF333C,"First Round","10,296",7.58,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,13c3ae02-d3cc-4a0a-9673-37f3e1b63d83,539e0448-f868-4d12-9c97-fe6e418708fd,,"Alfred Ansumana"
600,450,2012-11-17,Chairperson,"District Results",,Bonthe,,Momodu,Maligi,APC,FF333C,"First Round","10,264",16.05,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,a9f095b1-e366-424a-97a9-55f91d72304a,b735623e-9183-47af-8fd4-640f69171137,E.,"Momodu E. Maligi"
8078,450,2012-11-17,Chairperson,"District Results",,Bonthe,,Momodu,Maligi,APC,FF333C,"First Round","10,264",16.05,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,0aa73470-a2df-4ffc-bc96-d81951635618,b735623e-9183-47af-8fd4-640f69171137,E.,"Momodu E. Maligi"
613,466,2012-11-17,Chairperson,"District Results",,Pujehun,,Ahmed,Kamara,APC,FF333C,"First Round","9,786",14.08,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,370884f8-00d5-43a1-b214-557df5cdd872,60158e4c-2e36-4a3a-abca-ee3dcbd91578,Ken,"Ahmed Ken Kamara"
8115,466,2012-11-17,Chairperson,"District Results",,Pujehun,,Ahmed,Kamara,APC,FF333C,"First Round","9,786",14.08,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,7b6d5cfb-7d0d-468b-b9d5-3dfb95067d33,60158e4c-2e36-4a3a-abca-ee3dcbd91578,Ken,"Ahmed Ken Kamara"
615,467,2012-11-17,Chairperson,"District Results",,Pujehun,,Magdaline,Sheriff,PMDC,f3881e,"First Round","9,640",13.87,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,37f70599-2278-4e80-9413-abe34b20da1b,5790e3c1-7044-4716-bd8b-8a2d21be6b60,,"Magdaline Sheriff"
8122,467,2012-11-17,Chairperson,"District Results",,Pujehun,,Magdaline,Sheriff,PMDC,f3881e,"First Round","9,640",13.87,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,680d0024-5514-4fa2-a9f4-8c931c34133f,5790e3c1-7044-4716-bd8b-8a2d21be6b60,,"Magdaline Sheriff"
1468,1462,2018-03-07,Chairperson,"District Results",,Pujehun,,Melvin,Rogers,APC,FF333C,"First Round","8,693",12.24,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,8d458315-ca4e-498a-b6c1-b634f8488300,8459df8d-4e30-4eb2-b5a6-693562d88132,,"Melvin Rogers"
