SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionDistrict,ElectionRegion,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,CandidateOtherNames,CandidateFullname,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidatePoliticalPartyID,CandidatePoliticalPartyLongName,CandidatePoliticalPartyLogo
1919,83,3/7/18,Presidential,District Results,Port Loko,,O'Dwyer,Patrick,NPD,3498DB,First Round,596,0.34,No,Final/Certified,/sites/default/files/2023-04/samuel-sam-sumana.jpg,John,Patrick John O'Dwyer,8d83f085-f991-465d-94f3-9669299921d7,b2975a3f-172d-4a8c-81e9-22aa18aa66da,29,National Progressive Democrats,/sites/default/files/party-logos/npd-party.jpg
1967,84,3/7/18,Presidential,District Results,Moyamba,,Sam-Sumana,Samuel,C4C,d68910,First Round,596,0.51,No,Final/Certified,/sites/default/files/2023-04/patrick-odwyer.jpg,,Samuel Sam-Sumana,50e1784f-bb49-42a1-8d83-cef79820f11b,3d1fc2e0-18bd-4127-9b06-6ac93cb32a37,21,Coalition for Change,/sites/default/files/party-logos/c4c-logo.jpeg
9175,94,11/17/12,Presidential,District Results,Bombali,,Kamara,Gibrilla,PDP,1E90FF,First Round,595,0.32,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,Gibrilla Kamara,fe21fa12-19e5-4fe1-92d3-fb2a96a152fe,10252505-b9fb-404c-a771-0e9f09e989c5,682,People's Democratic Party,/sites/default/files/party-logos/pdp-party.jpg
9510,321,5/14/02,Presidential,District Results,Western Area Urban,,Bangura,Zainab,MOP,808080,First Round,594,0.46,No,Final/Certified,/sites/default/files/2023-04/zainab-hawa-bangura.jpg,,Zainab Bangura,63b36e5a-1ba9-4853-be06-2eb5c79db43b,7a0bd9c4-806d-4ead-9dda-e6e431b1bdb0,717,Movement for Progress,/sites/default/files/party-logos/default-party-symbol.jpg
793,38,2/27/96,Presidential,Regional Results,,North,Turay,Andrew,NPP,808080,First Round,591,0.28,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,Andrew Turay,8ff77a8f-d74c-4d32-a4f0-2b4ad6230a37,f8a85dcc-cbbd-4cc0-a99d-5a7cde96222e,679,National People's Party,/sites/default/files/party-logos/default-party-symbol.jpg
9157,85,11/17/12,Presidential,District Results,Western Area Rural,,Margai,Charles,PMDC,f3881e,First Round,588,0.43,No,Final/Certified,/sites/default/files/2023-04/charles-francis-margai.jpg,Francis Kondo,Charles Francis Kondo Margai,44433523-46f2-4a39-8b30-d15bc92224b5,54b03b01-ae07-4638-aba4-6044068d2d15,26,Peoples Movement for Democratic Change,/sites/default/files/party-logos/pmdc-party.jpg
9416,86,8/11/07,Presidential,District Results,Kono,,Conteh,Kandeh,PLP,3e59a9,First Round,584,0.47,No,Final/Certified,/sites/default/files/2023-04/dr-baba-kandeh.jpg,Baba,Kandeh  Baba Conteh,7165a2ff-d2ac-4cd4-83b5-f42832a76ab5,b05244f0-98f8-4680-b781-4c75d6a2c830,30,Peace and Liberation Party,/sites/default/files/party-logos/PLP.png
9169,94,11/17/12,Presidential,District Results,Bo,,Kamara,Gibrilla,PDP,1E90FF,First Round,584,0.27,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,Gibrilla Kamara,f40ab59b-e088-4020-81bc-1f287a794676,10252505-b9fb-404c-a771-0e9f09e989c5,682,People's Democratic Party,/sites/default/files/party-logos/pdp-party.jpg
1549,41,2/27/96,Presidential,District Results,Kailahun,,Bangura,Thaimu,PDP,1E90FF,First Round,582,1.14,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-1.png,,Thaimu Bangura,cc8806a2-49a2-4799-800f-b7f04f5bb799,944b8117-bd7b-4678-885b-5cd237d9ecb8,682,People's Democratic Party,/sites/default/files/party-logos/pdp-party.jpg
9223,86,11/17/12,Presidential,District Results,Kenema,,Conteh,Kandeh,PLP,3e59a9,First Round,582,0.28,No,Final/Certified,/sites/default/files/2023-04/dr-baba-kandeh.jpg,Baba,Kandeh  Baba Conteh,26412c56-fc08-43e0-956b-4448f9e0a026,b05244f0-98f8-4680-b781-4c75d6a2c830,30,Peace and Liberation Party,/sites/default/files/party-logos/PLP.png
